,iso2,year,column,cases,sex,age
0,AD,2005,m04,0,m,0-4
1,AD,2006,m04,0,m,0-4
2,AD,2008,m04,0,m,0-4
3,AE,2008,m04,0,m,0-4
4,AL,2005,m04,0,m,0-4
5,AL,2006,m04,1,m,0-4
6,AL,2007,m04,0,m,0-4
7,AM,2005,m04,1,m,0-4
8,AM,2006,m04,0,m,0-4
9,AM,2007,m04,0,m,0-4
10,AM,2008,m04,0,m,0-4
11,AR,2008,m04,11,m,0-4
12,AT,2005,m04,1,m,0-4
13,AT,2006,m04,0,m,0-4
14,AZ,2005,m04,2,m,0-4
15,AZ,2006,m04,1,m,0-4
16,BA,2005,m04,0,m,0-4
17,BA,2006,m04,0,m,0-4
18,BA,2007,m04,0,m,0-4
19,BA,2008,m04,0,m,0-4
20,BB,2008,m04,0,m,0-4
21,BE,2005,m04,1,m,0-4
22,BE,2006,m04,3,m,0-4
23,BE,2008,m04,2,m,0-4
24,BG,2005,m04,0,m,0-4
25,BG,2008,m04,1,m,0-4
26,BH,2008,m04,0,m,0-4
27,BN,2008,m04,0,m,0-4
28,BR,2008,m04,115,m,0-4
29,BS,2008,m04,0,m,0-4
30,BW,2008,m04,4,m,0-4
31,BZ,2008,m04,0,m,0-4
32,CA,2008,m04,0,m,0-4
33,CH,2005,m04,0,m,0-4
34,CH,2006,m04,0,m,0-4
35,CH,2007,m04,0,m,0-4
36,CH,2008,m04,0,m,0-4
37,CM,2008,m04,0,m,0-4
38,CY,2005,m04,0,m,0-4
39,CY,2006,m04,0,m,0-4
40,CY,2007,m04,0,m,0-4
41,CY,2008,m04,0,m,0-4
42,CZ,2005,m04,0,m,0-4
43,CZ,2006,m04,0,m,0-4
44,CZ,2007,m04,0,m,0-4
45,CZ,2008,m04,0,m,0-4
46,DE,2005,m04,2,m,0-4
47,DE,2006,m04,0,m,0-4
48,DE,2007,m04,0,m,0-4
49,DE,2008,m04,0,m,0-4
50,DK,2005,m04,0,m,0-4
51,DK,2006,m04,0,m,0-4
52,DK,2007,m04,0,m,0-4
53,DK,2008,m04,0,m,0-4
54,DM,2008,m04,0,m,0-4
55,DO,2008,m04,2,m,0-4
56,EE,2005,m04,0,m,0-4
57,EE,2006,m04,0,m,0-4
58,EE,2007,m04,0,m,0-4
59,EE,2008,m04,0,m,0-4
60,EG,2008,m04,0,m,0-4
61,ES,2005,m04,6,m,0-4
62,ES,2006,m04,12,m,0-4
63,ES,2007,m04,4,m,0-4
64,ES,2008,m04,9,m,0-4
65,FI,2005,m04,0,m,0-4
66,FI,2006,m04,0,m,0-4
67,FI,2007,m04,0,m,0-4
68,FI,2008,m04,0,m,0-4
69,FM,2008,m04,1,m,0-4
70,FR,2005,m04,7,m,0-4
71,FR,2006,m04,8,m,0-4
72,FR,2007,m04,8,m,0-4
73,FR,2008,m04,5,m,0-4
74,GB,2005,m04,4,m,0-4
75,GB,2006,m04,3,m,0-4
76,GB,2007,m04,2,m,0-4
77,GB,2008,m04,1,m,0-4
78,GE,2006,m04,0,m,0-4
79,GE,2007,m04,6,m,0-4
80,GE,2008,m04,39,m,0-4
81,GM,2008,m04,1,m,0-4
82,GR,2005,m04,0,m,0-4
83,GR,2006,m04,0,m,0-4
84,GR,2007,m04,0,m,0-4
85,GR,2008,m04,0,m,0-4
86,GT,2008,m04,0,m,0-4
87,GU,2008,m04,0,m,0-4
88,GY,2008,m04,2,m,0-4
89,HK,2008,m04,0,m,0-4
90,HN,2008,m04,1,m,0-4
91,HR,2005,m04,0,m,0-4
92,HR,2006,m04,0,m,0-4
93,HR,2008,m04,0,m,0-4
94,HT,2008,m04,8,m,0-4
95,HU,2005,m04,0,m,0-4
96,HU,2006,m04,0,m,0-4
97,HU,2007,m04,0,m,0-4
98,HU,2008,m04,0,m,0-4
99,ID,2008,m04,161,m,0-4
100,IE,2005,m04,0,m,0-4
101,IE,2006,m04,0,m,0-4
102,IE,2007,m04,0,m,0-4
103,IE,2008,m04,1,m,0-4
104,IL,2005,m04,0,m,0-4
105,IL,2006,m04,0,m,0-4
106,IL,2007,m04,0,m,0-4
107,IL,2008,m04,0,m,0-4
108,IQ,2008,m04,2,m,0-4
109,IR,2008,m04,0,m,0-4
110,IS,2005,m04,0,m,0-4
111,IS,2006,m04,0,m,0-4
112,IS,2007,m04,0,m,0-4
113,IS,2008,m04,0,m,0-4
114,IT,2005,m04,7,m,0-4
115,IT,2006,m04,6,m,0-4
116,IT,2007,m04,1,m,0-4
117,IT,2008,m04,1,m,0-4
118,JM,2008,m04,2,m,0-4
119,JO,2008,m04,0,m,0-4
120,JP,2008,m04,0,m,0-4
121,KE,2008,m04,40,m,0-4
122,KG,2005,m04,0,m,0-4
123,KI,2008,m04,0,m,0-4
124,KM,2008,m04,0,m,0-4
125,KN,2008,m04,0,m,0-4
126,KP,2008,m04,11,m,0-4
127,KR,2008,m04,3,m,0-4
128,KW,2008,m04,0,m,0-4
129,KZ,2005,m04,0,m,0-4
130,KZ,2007,m04,3,m,0-4
131,KZ,2008,m04,0,m,0-4
132,LB,2008,m04,0,m,0-4
133,LC,2008,m04,0,m,0-4
134,LR,2008,m04,3,m,0-4
135,LS,2008,m04,0,m,0-4
136,LT,2005,m04,0,m,0-4
137,LT,2006,m04,0,m,0-4
138,LT,2007,m04,0,m,0-4
139,LT,2008,m04,0,m,0-4
140,LU,2005,m04,0,m,0-4
141,LU,2006,m04,0,m,0-4
142,LU,2007,m04,0,m,0-4
143,LU,2008,m04,0,m,0-4
144,LV,2005,m04,0,m,0-4
145,LV,2006,m04,0,m,0-4
146,LV,2008,m04,0,m,0-4
147,LY,2008,m04,1,m,0-4
148,MA,2008,m04,5,m,0-4
149,MD,2005,m04,0,m,0-4
150,MD,2007,m04,0,m,0-4
151,MD,2008,m04,0,m,0-4
152,ME,2005,m04,0,m,0-4
153,ME,2007,m04,0,m,0-4
154,ME,2008,m04,0,m,0-4
155,MG,2008,m04,21,m,0-4
156,MH,2008,m04,0,m,0-4
157,MK,2005,m04,0,m,0-4
158,MK,2006,m04,0,m,0-4
159,MK,2007,m04,0,m,0-4
160,MK,2008,m04,0,m,0-4
161,ML,2008,m04,2,m,0-4
162,MO,2008,m04,0,m,0-4
163,MP,2008,m04,0,m,0-4
164,MT,2005,m04,0,m,0-4
165,MT,2006,m04,0,m,0-4
166,MT,2007,m04,0,m,0-4
167,MT,2008,m04,0,m,0-4
168,MU,2008,m04,0,m,0-4
169,MX,2008,m04,62,m,0-4
170,MY,2008,m04,61,m,0-4
171,NC,2008,m04,0,m,0-4
172,NL,2005,m04,0,m,0-4
173,NL,2006,m04,0,m,0-4
174,NL,2007,m04,1,m,0-4
175,NL,2008,m04,0,m,0-4
176,NO,2005,m04,0,m,0-4
177,NO,2006,m04,0,m,0-4
178,NO,2008,m04,0,m,0-4
179,NR,2008,m04,0,m,0-4
180,NZ,2008,m04,0,m,0-4
181,OM,2008,m04,0,m,0-4
182,PE,2008,m04,10,m,0-4
183,PF,2008,m04,0,m,0-4
184,PL,2005,m04,2,m,0-4
185,PL,2006,m04,1,m,0-4
186,PL,2007,m04,0,m,0-4
187,PL,2008,m04,3,m,0-4
188,PR,2008,m04,0,m,0-4
189,PS,2008,m04,0,m,0-4
190,PT,2005,m04,3,m,0-4
191,PT,2006,m04,4,m,0-4
192,PT,2007,m04,1,m,0-4
193,PT,2008,m04,1,m,0-4
194,PY,2008,m04,3,m,0-4
195,QA,2008,m04,0,m,0-4
196,RO,2005,m04,10,m,0-4
197,RO,2006,m04,9,m,0-4
198,RO,2008,m04,8,m,0-4
199,RS,2005,m04,0,m,0-4
200,RS,2006,m04,2,m,0-4
201,RS,2007,m04,0,m,0-4
202,RS,2008,m04,0,m,0-4
203,RU,2008,m04,1,m,0-4
204,SB,2008,m04,0,m,0-4
205,SC,2008,m04,0,m,0-4
206,SD,2008,m04,40,m,0-4
207,SE,2005,m04,0,m,0-4
208,SE,2006,m04,0,m,0-4
209,SE,2007,m04,0,m,0-4
210,SE,2008,m04,0,m,0-4
211,SG,2008,m04,0,m,0-4
212,SI,2005,m04,0,m,0-4
213,SI,2006,m04,0,m,0-4
214,SI,2007,m04,0,m,0-4
215,SI,2008,m04,0,m,0-4
216,SK,2005,m04,0,m,0-4
217,SK,2006,m04,1,m,0-4
218,SK,2007,m04,0,m,0-4
219,SK,2008,m04,0,m,0-4
220,SN,2008,m04,2,m,0-4
221,SV,2008,m04,0,m,0-4
222,SZ,2008,m04,1,m,0-4
223,TJ,2005,m04,0,m,0-4
224,TJ,2008,m04,0,m,0-4
225,TM,2005,m04,0,m,0-4
226,TM,2007,m04,0,m,0-4
227,TO,2008,m04,0,m,0-4
228,TR,2005,m04,1,m,0-4
229,TR,2006,m04,2,m,0-4
230,TR,2007,m04,13,m,0-4
231,TR,2008,m04,7,m,0-4
232,TT,2008,m04,0,m,0-4
233,TV,2008,m04,0,m,0-4
234,UA,2007,m04,5,m,0-4
235,UG,2008,m04,0,m,0-4
236,US,2008,m04,4,m,0-4
237,UY,2008,m04,0,m,0-4
238,UZ,2007,m04,0,m,0-4
239,VE,2008,m04,0,m,0-4
240,ZA,2008,m04,344,m,0-4
241,AD,2005,m514,0,m,5-14
242,AD,2006,m514,0,m,5-14
243,AD,2008,m514,0,m,5-14
244,AE,2008,m514,0,m,5-14
245,AL,2005,m514,0,m,5-14
246,AL,2006,m514,4,m,5-14
247,AL,2007,m514,0,m,5-14
248,AM,2005,m514,2,m,5-14
249,AM,2006,m514,0,m,5-14
250,AM,2007,m514,1,m,5-14
251,AM,2008,m514,0,m,5-14
252,AR,2008,m514,58,m,5-14
253,AT,2005,m514,0,m,5-14
254,AT,2006,m514,1,m,5-14
255,AZ,2005,m514,75,m,5-14
256,AZ,2006,m514,5,m,5-14
257,BA,2005,m514,1,m,5-14
258,BA,2006,m514,0,m,5-14
259,BA,2007,m514,0,m,5-14
260,BA,2008,m514,0,m,5-14
261,BB,2008,m514,0,m,5-14
262,BE,2005,m514,0,m,5-14
263,BE,2006,m514,1,m,5-14
264,BE,2008,m514,1,m,5-14
265,BG,2005,m514,9,m,5-14
266,BG,2008,m514,1,m,5-14
267,BH,2008,m514,0,m,5-14
268,BN,2008,m514,0,m,5-14
269,BR,2008,m514,183,m,5-14
270,BS,2008,m514,0,m,5-14
271,BW,2008,m514,23,m,5-14
272,BZ,2008,m514,1,m,5-14
273,CA,2008,m514,2,m,5-14
274,CH,2005,m514,1,m,5-14
275,CH,2006,m514,1,m,5-14
276,CH,2007,m514,0,m,5-14
277,CH,2008,m514,0,m,5-14
278,CM,2008,m514,0,m,5-14
279,CY,2005,m514,0,m,5-14
280,CY,2006,m514,0,m,5-14
281,CY,2007,m514,0,m,5-14
282,CY,2008,m514,0,m,5-14
283,CZ,2005,m514,0,m,5-14
284,CZ,2006,m514,0,m,5-14
285,CZ,2007,m514,0,m,5-14
286,CZ,2008,m514,0,m,5-14
287,DE,2005,m514,4,m,5-14
288,DE,2006,m514,2,m,5-14
289,DE,2007,m514,2,m,5-14
290,DE,2008,m514,2,m,5-14
291,DK,2005,m514,0,m,5-14
292,DK,2006,m514,0,m,5-14
293,DK,2007,m514,0,m,5-14
294,DK,2008,m514,0,m,5-14
295,DM,2008,m514,0,m,5-14
296,DO,2008,m514,14,m,5-14
297,EE,2005,m514,0,m,5-14
298,EE,2006,m514,0,m,5-14
299,EE,2007,m514,0,m,5-14
300,EE,2008,m514,0,m,5-14
301,EG,2008,m514,13,m,5-14
302,ES,2005,m514,7,m,5-14
303,ES,2006,m514,6,m,5-14
304,ES,2007,m514,6,m,5-14
305,ES,2008,m514,9,m,5-14
306,FI,2005,m514,1,m,5-14
307,FI,2006,m514,0,m,5-14
308,FI,2007,m514,0,m,5-14
309,FI,2008,m514,0,m,5-14
310,FM,2008,m514,0,m,5-14
311,FR,2005,m514,5,m,5-14
312,FR,2006,m514,9,m,5-14
313,FR,2007,m514,9,m,5-14
314,FR,2008,m514,5,m,5-14
315,GB,2005,m514,5,m,5-14
316,GB,2006,m514,6,m,5-14
317,GB,2007,m514,11,m,5-14
318,GB,2008,m514,4,m,5-14
319,GE,2006,m514,3,m,5-14
320,GE,2007,m514,1,m,5-14
321,GE,2008,m514,122,m,5-14
322,GM,2008,m514,6,m,5-14
323,GR,2005,m514,1,m,5-14
324,GR,2006,m514,0,m,5-14
325,GR,2007,m514,1,m,5-14
326,GR,2008,m514,0,m,5-14
327,GT,2008,m514,19,m,5-14
328,GU,2008,m514,0,m,5-14
329,GY,2008,m514,5,m,5-14
330,HK,2008,m514,0,m,5-14
331,HN,2008,m514,10,m,5-14
332,HR,2005,m514,1,m,5-14
333,HR,2006,m514,0,m,5-14
334,HR,2008,m514,0,m,5-14
335,HT,2008,m514,82,m,5-14
336,HU,2005,m514,0,m,5-14
337,HU,2006,m514,2,m,5-14
338,HU,2007,m514,0,m,5-14
339,HU,2008,m514,0,m,5-14
340,ID,2008,m514,710,m,5-14
341,IE,2005,m514,1,m,5-14
342,IE,2006,m514,0,m,5-14
343,IE,2007,m514,0,m,5-14
344,IE,2008,m514,1,m,5-14
345,IL,2005,m514,0,m,5-14
346,IL,2006,m514,0,m,5-14
347,IL,2007,m514,1,m,5-14
348,IL,2008,m514,0,m,5-14
349,IQ,2008,m514,16,m,5-14
350,IR,2008,m514,11,m,5-14
351,IS,2005,m514,0,m,5-14
352,IS,2006,m514,0,m,5-14
353,IS,2007,m514,0,m,5-14
354,IS,2008,m514,0,m,5-14
355,IT,2005,m514,1,m,5-14
356,IT,2006,m514,1,m,5-14
357,IT,2007,m514,2,m,5-14
358,IT,2008,m514,12,m,5-14
359,JM,2008,m514,1,m,5-14
360,JO,2008,m514,0,m,5-14
361,JP,2008,m514,2,m,5-14
362,KE,2008,m514,411,m,5-14
363,KG,2005,m514,1,m,5-14
364,KI,2008,m514,2,m,5-14
365,KM,2008,m514,2,m,5-14
366,KN,2008,m514,0,m,5-14
367,KP,2008,m514,430,m,5-14
368,KR,2008,m514,18,m,5-14
369,KW,2008,m514,0,m,5-14
370,KZ,2005,m514,31,m,5-14
371,KZ,2007,m514,11,m,5-14
372,KZ,2008,m514,14,m,5-14
373,LB,2008,m514,1,m,5-14
